id,run_id,record_id,attributes,metadata,true_type,pred_type,true_subtype,pred_subtype,created_at
11,1,REC-000011,"{""sku"":""SKU-RRKM6TIV"",""upc"":""794949372100"",""name"":""Item_w86cdp"",""size"":""One Size"",""tags"":[""sports""],""brand"":""BrandB"",""color"":""small"",""price"":80.62,""rating"":""4.1"",""weight"":56.84,""material"":""Wood"",""inventory"":116,""dimensions"":{""width"":276,""height"":98,""length"":102},""createdDate"":""2025-10-12T20:16:33.934Z"",""description"":""A basic home product"",""lastModified"":""2026-03-22T04:55:54.881Z""}","{""region"":""MENA"",""source"":""Import"",""status"":""Review"",""verified"":false,""confidence"":""18.86"",""department"":""Sales"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-21T12:08:22.170Z""}",Service,Service,Installation,Standard,1774629223796
12,1,REC-000012,"{""sku"":""SKU-8DL7UV5X"",""upc"":""960521935024"",""name"":""Item_z1sayh"",""size"":""M"",""tags"":[""furniture""],""brand"":""BrandE"",""color"":""professional"",""price"":80.04,""rating"":""4.2"",""weight"":3.47,""material"":""Leather"",""inventory"":394,""dimensions"":{""width"":218,""height"":185,""length"":264},""createdDate"":""2026-02-19T19:46:52.891Z"",""description"":""A blue food product"",""lastModified"":""2026-03-16T14:32:21.257Z""}","{""region"":""EU"",""source"":""Web Scrape"",""status"":""Active"",""verified"":true,""confidence"":""44.05"",""department"":""Sales"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-24T16:04:57.123Z""}",Account,Account,Premium,Nonprofit,1774629223796
13,1,REC-000013,"{""sku"":""SKU-6NGU0D1B"",""upc"":""946440937187"",""name"":""Item_nyvcf"",""size"":""XXL"",""tags"":[""art""],""brand"":""Luxury"",""color"":""deluxe"",""price"":46.73,""rating"":""2.3"",""weight"":12.78,""material"":""Wool"",""inventory"":450,""dimensions"":{""width"":417,""height"":71,""length"":337},""createdDate"":""2025-12-19T15:00:00.460Z"",""description"":""A consumer toys product"",""lastModified"":""2026-03-05T00:31:24.707Z""}","{""region"":""LATAM"",""source"":""User Submission"",""status"":""Review"",""verified"":false,""confidence"":""62.76"",""department"":""Sales"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-07T09:22:07.061Z""}",Transaction,Product,Coupon,Exclusive,1774629223796
14,1,REC-000014,"{""sku"":""SKU-7NWYHCGE"",""upc"":""594209118181"",""name"":""Item_s59fs4"",""size"":""L"",""tags"":[""home""],""brand"":""Generic"",""color"":""professional"",""price"":11.66,""rating"":""3.7"",""weight"":18.97,""material"":""Cotton"",""inventory"":17,""dimensions"":{""width"":365,""height"":491,""length"":305},""createdDate"":""2025-10-29T03:50:45.337Z"",""description"":""A consumer sports product"",""lastModified"":""2026-02-26T22:33:57.575Z""}","{""region"":""EU"",""source"":""Web Scrape"",""status"":""Review"",""verified"":false,""confidence"":""50.39"",""department"":""Support"",""dataQuality"":""High"",""lastChecked"":""2026-03-17T22:15:01.514Z""}",Document,Document,Terms,Report,1774629223796
15,1,REC-000015,"{""sku"":""SKU-0LAF2R6M"",""upc"":""351051250722"",""name"":""Item_w0lglq"",""size"":""M"",""tags"":[""music"",""electronics""],""brand"":""Premium"",""color"":""blue"",""price"":2.62,""rating"":""3.3"",""weight"":52.12,""material"":""Wool"",""inventory"":692,""dimensions"":{""width"":462,""height"":380,""length"":208},""createdDate"":""2025-12-25T16:29:46.002Z"",""description"":""A large electronics product"",""lastModified"":""2026-03-05T02:22:28.587Z""}","{""region"":""EU"",""source"":""Import"",""status"":""Active"",""verified"":true,""confidence"":""66.67"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-02-27T17:03:11.716Z""}",Feedback,Feedback,Suggestion,Bug Report,1774629223796
16,1,REC-000016,"{""sku"":""SKU-AJHG6FRN"",""upc"":""751269062175"",""name"":""Item_1fp3ji"",""size"":""M"",""tags"":[""art"",""electronics"",""electronics"",""clothing""],""brand"":""Luxury"",""color"":""basic"",""price"":1.6,""rating"":""2.5"",""weight"":89.38,""material"":""Wool"",""inventory"":823,""dimensions"":{""width"":389,""height"":475,""length"":253},""createdDate"":""2025-05-19T05:12:16.098Z"",""description"":""A blue books product"",""lastModified"":""2026-03-15T02:55:39.642Z""}","{""region"":""US"",""source"":""Web Scrape"",""status"":""Inactive"",""verified"":false,""confidence"":""12.99"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-13T08:37:16.133Z""}",Content,Document,Video,License,1774629223796
17,1,REC-000017,"{""sku"":""SKU-B6YWXQZ1"",""upc"":""12467604932"",""name"":""Item_wena5"",""size"":""XL"",""tags"":[""sports"",""food"",""toys""],""brand"":""BrandD"",""color"":""red"",""price"":87.88,""rating"":""0.1"",""weight"":71.3,""material"":""Wool"",""inventory"":140,""dimensions"":{""width"":306,""height"":58,""length"":138},""createdDate"":""2026-02-19T13:03:05.560Z"",""description"":""A blue toys product"",""lastModified"":""2026-03-06T21:08:38.597Z""}","{""region"":""EU"",""source"":""API"",""status"":""Inactive"",""verified"":false,""confidence"":""29.58"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-24T15:41:48.947Z""}",Alert,Alert,Security,Notification,1774629223796
18,1,REC-000018,"{""sku"":""SKU-VGPG5KQZ"",""upc"":""663254205089"",""name"":""Item_t2ozmp"",""size"":""L"",""tags"":[""home""],""brand"":""BrandD"",""color"":""large"",""price"":28.19,""rating"":""3.3"",""weight"":23.13,""material"":""Glass"",""inventory"":375,""dimensions"":{""width"":90,""height"":258,""length"":312},""createdDate"":""2025-09-22T23:42:20.797Z"",""description"":""A red clothing product"",""lastModified"":""2026-03-23T04:11:24.970Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Pending"",""verified"":true,""confidence"":""78.20"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-22T01:48:21.198Z""}",Return,Return,Recall,Unwanted,1774629223796
19,1,REC-000019,"{""sku"":""SKU-SO8ZZIT5"",""upc"":""482067557814"",""name"":""Item_oiatt"",""size"":""XL"",""tags"":[""books""],""brand"":""BrandA"",""color"":""blue"",""price"":51,""rating"":""0.4"",""weight"":94.28,""material"":""Plastic"",""inventory"":734,""dimensions"":{""width"":6,""height"":421,""length"":54},""createdDate"":""2025-09-21T06:33:02.532Z"",""description"":""A standard clothing product"",""lastModified"":""2026-03-26T14:24:01.955Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Archived"",""verified"":false,""confidence"":""42.37"",""department"":""Operations"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-16T07:02:41.511Z""}",Document,Document,Shipping Label,Guide,1774629223796
20,1,REC-000020,"{""sku"":""SKU-XQMO7BN7"",""upc"":""705418996177"",""name"":""Item_k17ksn"",""size"":""XL"",""tags"":[""home"",""music"",""food"",""furniture""],""brand"":""BrandD"",""color"":""deluxe"",""price"":54.16,""rating"":""1.1"",""weight"":81.87,""material"":""Polyester"",""inventory"":467,""dimensions"":{""width"":113,""height"":117,""length"":83},""createdDate"":""2025-07-14T10:01:37.308Z"",""description"":""A basic electronics product"",""lastModified"":""2026-03-15T09:50:02.871Z""}","{""region"":""EU"",""source"":""Import"",""status"":""Active"",""verified"":true,""confidence"":""49.16"",""department"":""Operations"",""dataQuality"":""Low"",""lastChecked"":""2026-03-23T16:11:53.070Z""}",Service,Service,Standard,Delivery,1774629223796
21,1,REC-000021,"{""sku"":""SKU-L87E7WEU"",""upc"":""468897214889"",""name"":""Item_6lpxgk"",""size"":""XS"",""tags"":[""food"",""electronics""],""brand"":""BrandD"",""color"":""blue"",""price"":35.71,""rating"":""2.3"",""weight"":81.22,""material"":""Cotton"",""inventory"":489,""dimensions"":{""width"":34,""height"":353,""length"":443},""createdDate"":""2025-06-01T07:29:20.625Z"",""description"":""A standard toys product"",""lastModified"":""2026-03-17T12:51:08.492Z""}","{""region"":""EU"",""source"":""API"",""status"":""Active"",""verified"":false,""confidence"":""75.17"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-11T06:00:40.201Z""}",Return,Return,Full,Defective,1774629223796
22,1,REC-000022,"{""sku"":""SKU-U691ROC2"",""upc"":""644900188065"",""name"":""Item_yy2dbh"",""size"":""XL"",""tags"":[""clothing"",""music"",""toys"",""toys""],""brand"":""BrandA"",""color"":""basic"",""price"":40.68,""rating"":""3.6"",""weight"":71.72,""material"":""Plastic"",""inventory"":54,""dimensions"":{""width"":149,""height"":380,""length"":413},""createdDate"":""2025-06-01T19:59:00.202Z"",""description"":""A deluxe sports product"",""lastModified"":""2026-03-27T03:33:27.571Z""}","{""region"":""EU"",""source"":""Web Scrape"",""status"":""Review"",""verified"":true,""confidence"":""7.12"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-10T15:01:19.058Z""}",Service,Service,Training,Installation,1774629223796
23,1,REC-000023,"{""sku"":""SKU-BXB0UJH8"",""upc"":""203928818300"",""name"":""Item_4bll6"",""size"":""XS"",""tags"":[""books"",""furniture"",""toys""],""brand"":""BrandA"",""color"":""standard"",""price"":34.04,""rating"":""0.1"",""weight"":50.55,""material"":""Nylon"",""inventory"":50,""dimensions"":{""width"":46,""height"":481,""length"":325},""createdDate"":""2025-07-24T07:49:48.447Z"",""description"":""A consumer home product"",""lastModified"":""2026-02-27T10:12:03.277Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Active"",""verified"":true,""confidence"":""13.52"",""department"":""Sales"",""dataQuality"":""Low"",""lastChecked"":""2026-03-21T18:21:00.278Z""}",Content,Document,Code,Guide,1774629223796
24,1,REC-000024,"{""sku"":""SKU-JMR4XBDD"",""upc"":""914591687254"",""name"":""Item_g0wqb"",""size"":""M"",""tags"":[""home"",""furniture""],""brand"":""BrandB"",""color"":""large"",""price"":67.94,""rating"":""1.5"",""weight"":7.78,""material"":""Glass"",""inventory"":833,""dimensions"":{""width"":295,""height"":7,""length"":37},""createdDate"":""2025-06-01T02:29:15.222Z"",""description"":""A blue food product"",""lastModified"":""2026-03-12T10:23:04.893Z""}","{""region"":""US"",""source"":""Import"",""status"":""Pending"",""verified"":true,""confidence"":""30.75"",""department"":""Operations"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-03T23:33:26.810Z""}",Communication,Communication,Blog,WhatsApp,1774629223796
25,1,REC-000025,"{""sku"":""SKU-4FQV6776"",""upc"":""723513536485"",""name"":""Item_lwb3sq"",""size"":""One Size"",""tags"":[""food"",""books"",""sports"",""art""],""brand"":""BrandC"",""color"":""standard"",""price"":63.15,""rating"":""4.8"",""weight"":30.69,""material"":""Metal"",""inventory"":913,""dimensions"":{""width"":362,""height"":26,""length"":9},""createdDate"":""2026-02-20T10:23:53.362Z"",""description"":""A small sports product"",""lastModified"":""2026-03-21T02:31:42.910Z""}","{""region"":""MENA"",""source"":""Web Scrape"",""status"":""Inactive"",""verified"":true,""confidence"":""81.49"",""department"":""Support"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-12T05:25:53.633Z""}",Service,Service,Support,Phone,1774629223796
26,1,REC-000026,"{""sku"":""SKU-TOW43RVD"",""upc"":""500410426076"",""name"":""Item_b7tyqj"",""size"":""L"",""tags"":[""art"",""electronics"",""art"",""furniture"",""music""],""brand"":""BrandC"",""color"":""basic"",""price"":81.52,""rating"":""1.9"",""weight"":78.24,""material"":""Polyester"",""inventory"":957,""dimensions"":{""width"":188,""height"":323,""length"":182},""createdDate"":""2026-01-24T20:58:07.500Z"",""description"":""A consumer home product"",""lastModified"":""2026-03-09T20:40:42.222Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Archived"",""verified"":true,""confidence"":""19.49"",""department"":""Marketing"",""dataQuality"":""Low"",""lastChecked"":""2026-03-25T11:59:47.943Z""}",Support,Feedback,Knowledge Base,Suggestion,1774629223796
27,1,REC-000027,"{""sku"":""SKU-8ZSXIC6Y"",""upc"":""205950964621"",""name"":""Item_aygyq"",""size"":""L"",""tags"":[""art""],""brand"":""Generic"",""color"":""premium"",""price"":28.19,""rating"":""0.5"",""weight"":64.7,""material"":""Glass"",""inventory"":201,""dimensions"":{""width"":356,""height"":240,""length"":490},""createdDate"":""2025-10-24T16:33:01.291Z"",""description"":""A large electronics product"",""lastModified"":""2026-03-10T15:17:49.801Z""}","{""region"":""US"",""source"":""Manual Entry"",""status"":""Pending"",""verified"":true,""confidence"":""8.77"",""department"":""Finance"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-27T05:54:01.694Z""}",Shipping,Payment,Signature,Debit Card,1774629223796
28,1,REC-000028,"{""sku"":""SKU-YBDKNMGZ"",""upc"":""822255425177"",""name"":""Item_j9h0wr"",""size"":""XXL"",""tags"":[""sports"",""home"",""food""],""brand"":""BrandB"",""color"":""basic"",""price"":93.17,""rating"":""4.3"",""weight"":49.29,""material"":""Leather"",""inventory"":208,""dimensions"":{""width"":75,""height"":492,""length"":214},""createdDate"":""2026-02-28T01:05:43.390Z"",""description"":""A small books product"",""lastModified"":""2026-03-08T00:00:59.580Z""}","{""region"":""APAC"",""source"":""Import"",""status"":""Inactive"",""verified"":false,""confidence"":""50.97"",""department"":""Operations"",""dataQuality"":""Low"",""lastChecked"":""2026-03-13T23:47:03.465Z""}",System,System,Network,Database,1774629223796
29,1,REC-000029,"{""sku"":""SKU-3HAJHAIA"",""upc"":""351010098623"",""name"":""Item_4x4yak"",""size"":""XL"",""tags"":[""furniture"",""home"",""home"",""home"",""food""],""brand"":""Premium"",""color"":""basic"",""price"":98.56,""rating"":""4.0"",""weight"":83.7,""material"":""Cotton"",""inventory"":300,""dimensions"":{""width"":435,""height"":32,""length"":183},""createdDate"":""2026-01-28T04:48:08.894Z"",""description"":""A professional art product"",""lastModified"":""2026-03-01T09:16:49.142Z""}","{""region"":""US"",""source"":""User Submission"",""status"":""Review"",""verified"":false,""confidence"":""89.72"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-23T01:45:30.101Z""}",Security,Security,Login,Password,1774629223796
30,1,REC-000030,"{""sku"":""SKU-U7Y37VR6"",""upc"":""311667548010"",""name"":""Item_tfhb6s"",""size"":""One Size"",""tags"":[""books""],""brand"":""Luxury"",""color"":""consumer"",""price"":61.44,""rating"":""3.0"",""weight"":67.62,""material"":""Wood"",""inventory"":582,""dimensions"":{""width"":106,""height"":403,""length"":440},""createdDate"":""2025-11-29T20:29:18.125Z"",""description"":""A basic art product"",""lastModified"":""2026-03-06T18:50:11.693Z""}","{""region"":""MENA"",""source"":""Web Scrape"",""status"":""Active"",""verified"":true,""confidence"":""52.84"",""department"":""Finance"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-09T07:08:48.418Z""}",Transaction,Product,Discount,Custom,1774629223796
31,1,REC-000031,"{""sku"":""SKU-3MW2X34A"",""upc"":""184477512365"",""name"":""Item_gnxu3g"",""size"":""L"",""tags"":[""food"",""music""],""brand"":""Generic"",""color"":""deluxe"",""price"":20.26,""rating"":""3.4"",""weight"":4.82,""material"":""Silk"",""inventory"":123,""dimensions"":{""width"":342,""height"":252,""length"":56},""createdDate"":""2025-07-31T12:08:15.219Z"",""description"":""A red sports product"",""lastModified"":""2026-03-14T19:53:02.198Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Review"",""verified"":true,""confidence"":""83.74"",""department"":""Finance"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-02T05:11:42.589Z""}",Communication,Communication,Phone Call,Email,1774629223796
32,1,REC-000032,"{""sku"":""SKU-2GH7J1HB"",""upc"":""22537453096"",""name"":""Item_jv8ilw"",""size"":""M"",""tags"":[""art""],""brand"":""Budget"",""color"":""large"",""price"":74.8,""rating"":""0.4"",""weight"":82.65,""material"":""Nylon"",""inventory"":72,""dimensions"":{""width"":448,""height"":232,""length"":293},""createdDate"":""2025-08-03T13:05:40.364Z"",""description"":""A professional toys product"",""lastModified"":""2026-03-26T23:11:22.362Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Pending"",""verified"":true,""confidence"":""1.02"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-04T17:43:51.595Z""}",Product,Product,Bundle,Gift,1774629223796
33,1,REC-000033,"{""sku"":""SKU-5TGPBHAA"",""upc"":""640390810946"",""name"":""Item_5vlfee"",""size"":""XXL"",""tags"":[""art"",""books"",""home""],""brand"":""BrandB"",""color"":""red"",""price"":39.42,""rating"":""1.9"",""weight"":32.28,""material"":""Polyester"",""inventory"":908,""dimensions"":{""width"":104,""height"":63,""length"":95},""createdDate"":""2025-09-29T18:51:05.571Z"",""description"":""A small music product"",""lastModified"":""2026-03-08T10:40:50.389Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Review"",""verified"":false,""confidence"":""53.60"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-02-28T15:15:39.125Z""}",Security,Security,Permission,Encryption,1774629223796
34,1,REC-000034,"{""sku"":""SKU-FUP8WMGL"",""upc"":""854570060545"",""name"":""Item_b6r6cm"",""size"":""XS"",""tags"":[""clothing"",""sports"",""toys""],""brand"":""BrandA"",""color"":""premium"",""price"":98.54,""rating"":""1.8"",""weight"":94.33,""material"":""Plastic"",""inventory"":600,""dimensions"":{""width"":242,""height"":350,""length"":470},""createdDate"":""2025-12-18T20:03:08.940Z"",""description"":""A consumer art product"",""lastModified"":""2026-02-26T03:46:49.643Z""}","{""region"":""US"",""source"":""Import"",""status"":""Active"",""verified"":true,""confidence"":""79.59"",""department"":""Marketing"",""dataQuality"":""High"",""lastChecked"":""2026-03-10T22:06:25.703Z""}",Feedback,Feedback,Rating,Review,1774629223796
35,1,REC-000035,"{""sku"":""SKU-6ECWQQR4"",""upc"":""905850863771"",""name"":""Item_3cgtvi"",""size"":""One Size"",""tags"":[""sports"",""music"",""clothing"",""electronics""],""brand"":""Budget"",""color"":""large"",""price"":21.19,""rating"":""1.1"",""weight"":49.56,""material"":""Plastic"",""inventory"":747,""dimensions"":{""width"":154,""height"":353,""length"":174},""createdDate"":""2025-07-11T03:50:30.049Z"",""description"":""A premium books product"",""lastModified"":""2026-03-18T16:53:58.819Z""}","{""region"":""LATAM"",""source"":""API"",""status"":""Archived"",""verified"":true,""confidence"":""69.91"",""department"":""Support"",""dataQuality"":""High"",""lastChecked"":""2026-03-23T23:00:04.778Z""}",Support,Feedback,Callback,Improvement,1774629223796
36,1,REC-000036,"{""sku"":""SKU-DZ7FVBNB"",""upc"":""133807855689"",""name"":""Item_3u8uv"",""size"":""S"",""tags"":[""home""],""brand"":""Generic"",""color"":""standard"",""price"":56.15,""rating"":""4.5"",""weight"":31.16,""material"":""Leather"",""inventory"":991,""dimensions"":{""width"":51,""height"":200,""length"":480},""createdDate"":""2025-10-02T22:54:01.747Z"",""description"":""A consumer books product"",""lastModified"":""2026-03-05T08:19:07.397Z""}","{""region"":""MENA"",""source"":""API"",""status"":""Archived"",""verified"":false,""confidence"":""79.39"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-23T21:41:27.040Z""}",Analytics,Analytics,Click,Engagement,1774629223796
37,1,REC-000037,"{""sku"":""SKU-JMYOGGFN"",""upc"":""655713622554"",""name"":""Item_znv23"",""size"":""XXL"",""tags"":[""furniture"",""sports"",""art"",""books"",""sports""],""brand"":""BrandB"",""color"":""consumer"",""price"":15.18,""rating"":""2.2"",""weight"":30.86,""material"":""Plastic"",""inventory"":340,""dimensions"":{""width"":257,""height"":372,""length"":471},""createdDate"":""2025-10-30T04:14:52.780Z"",""description"":""A premium clothing product"",""lastModified"":""2026-03-15T16:07:07.394Z""}","{""region"":""LATAM"",""source"":""Import"",""status"":""Archived"",""verified"":false,""confidence"":""64.18"",""department"":""Sales"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-10T10:37:04.110Z""}",Marketing,Marketing,Paid Ads,Social Media,1774629223796
